항목,시점,이용행태별(1),만60-69세,만70세이상
그렇다 (%),2024,모바일 뱅킹 등 금융거래 가능 정도,50.8,10.0
그렇다 (%),2024,무선 네트워크 설정 가능 정도,63.0,18.6
그렇다 (%),2024,문서나 자료 작성 가능 정도,21.4,3.3000000000000003
그렇다 (%),2024,쇼핑 및 공연 등 예약/예매 가능 정도,33.6,6.4
그렇다 (%),2024,수신된 이메일 열람 및 확인 가능 정도,33.1,6.699999999999999
그렇다 (%),2024,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,22.3,4.2
그렇다 (%),2024,이메일 작성하여 타인에게 발송 가능 정도,27.5,5.5
그렇다 (%),2024,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,84.6,43.400000000000006
그렇다 (%),2024,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,75.5,31.099999999999998
그렇다 (%),2024,파일을 컴퓨터로 이동 가능 정도,25.6,4.8
그렇다 (%),2024,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,34.8,5.8
그렇다 (%),2024,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,83.5,43.8
그렇다 (%),2025,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",76.19999999999999,31.0
그렇다 (%),2025,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,51.7,15.9
그렇다 (%),2025,모바일 뱅킹 등 금융거래 가능 정도,66.6,16.5
그렇다 (%),2025,무선 네트워크 설정 가능 정도,65.4,21.5
그렇다 (%),2025,문서나 자료 작성 가능 정도,26.5,4.5
그렇다 (%),2025,쇼핑 및 공연 등 예약/예매 가능 정도,45.3,9.4
그렇다 (%),2025,수신된 이메일 열람 및 확인 가능 정도,38.7,8.0
그렇다 (%),2025,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,25.200000000000003,5.3
그렇다 (%),2025,이메일 작성하여 타인에게 발송 가능 정도,35.1,7.1
그렇다 (%),2025,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,88.4,49.0
그렇다 (%),2025,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,83.4,39.2
그렇다 (%),2025,파일을 컴퓨터로 이동 가능 정도,28.7,6.4
그렇다 (%),2025,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,38.0,9.0
그렇다 (%),2025,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,88.3,50.099999999999994
그렇지 않다 (%),2021,개인 정보 및 사생활 보호 방법에 대한 인지 정도,67.5,94.2
그렇지 않다 (%),2021,개인정보 유출 시 대응 방법에 대한 인지 정도,69.8,94.39999999999999
그렇지 않다 (%),2021,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",29.700000000000003,79.3
